"from","to","combined_score"
"10090.ENSMUSP00000025541","10090.ENSMUSP00000114144",911
"10090.ENSMUSP00000035129","10090.ENSMUSP00000114144",229
"10090.ENSMUSP00000035129","10090.ENSMUSP00000114144",229
"10090.ENSMUSP00000052085","10090.ENSMUSP00000114144",239
"10090.ENSMUSP00000052085","10090.ENSMUSP00000114144",239
"10090.ENSMUSP00000068529","10090.ENSMUSP00000114144",239
"10090.ENSMUSP00000068529","10090.ENSMUSP00000114144",239
"10090.ENSMUSP00000079341","10090.ENSMUSP00000114144",758
"10090.ENSMUSP00000079341","10090.ENSMUSP00000114144",758
"10090.ENSMUSP00000018880","10090.ENSMUSP00000116679",310
"10090.ENSMUSP00000018880","10090.ENSMUSP00000116679",310
"10090.ENSMUSP00000023359","10090.ENSMUSP00000116679",334
"10090.ENSMUSP00000023359","10090.ENSMUSP00000116679",334
"10090.ENSMUSP00000069549","10090.ENSMUSP00000116679",205
"10090.ENSMUSP00000069549","10090.ENSMUSP00000116679",205
"10090.ENSMUSP00000104299","10090.ENSMUSP00000116679",725
"10090.ENSMUSP00000104299","10090.ENSMUSP00000116679",725
"10090.ENSMUSP00000110899","10090.ENSMUSP00000116679",298
"10090.ENSMUSP00000110899","10090.ENSMUSP00000116679",298
"10090.ENSMUSP00000025541","10090.ENSMUSP00000129624",218
"10090.ENSMUSP00000025541","10090.ENSMUSP00000129624",218
"10090.ENSMUSP00000066927","10090.ENSMUSP00000129624",231
"10090.ENSMUSP00000066927","10090.ENSMUSP00000129624",231
"10090.ENSMUSP00000015771","10090.ENSMUSP00000137662",414
"10090.ENSMUSP00000015771","10090.ENSMUSP00000137662",414
"10090.ENSMUSP00000041774","10090.ENSMUSP00000137662",642
"10090.ENSMUSP00000041774","10090.ENSMUSP00000137662",642
"10090.ENSMUSP00000066927","10090.ENSMUSP00000137662",565
"10090.ENSMUSP00000066927","10090.ENSMUSP00000137662",565
"10090.ENSMUSP00000006112","10090.ENSMUSP00000137732",297
"10090.ENSMUSP00000006112","10090.ENSMUSP00000137732",297
"10090.ENSMUSP00000015771","10090.ENSMUSP00000137732",241
"10090.ENSMUSP00000015771","10090.ENSMUSP00000137732",241
"10090.ENSMUSP00000018632","10090.ENSMUSP00000137732",219
"10090.ENSMUSP00000018632","10090.ENSMUSP00000137732",219
"10090.ENSMUSP00000041774","10090.ENSMUSP00000137732",317
"10090.ENSMUSP00000041774","10090.ENSMUSP00000137732",317
"10090.ENSMUSP00000046789","10090.ENSMUSP00000137732",213
"10090.ENSMUSP00000046789","10090.ENSMUSP00000137732",213
"10090.ENSMUSP00000066927","10090.ENSMUSP00000137732",300
"10090.ENSMUSP00000066927","10090.ENSMUSP00000137732",300
"10090.ENSMUSP00000137662","10090.ENSMUSP00000137732",236
"10090.ENSMUSP00000137662","10090.ENSMUSP00000137732",236
